DATE,OPEN,HIGH,LOW,CLOSE,VOL,Return_%,True_Range,Avg_Daily_Vol,Trading_Days
2013-03-31,151.09,156.85,150.41,156.67,2331100000.0,3.69,6.44,116555000.0,20
2013-04-30,156.59,159.72,153.55,159.68,2907200000.0,1.97,6.17,132145455.0,22
2013-05-31,159.33,169.07,158.1,163.45,2781700000.0,2.59,10.97,126440909.0,22
2013-06-30,163.83,165.99,155.73,160.42,3533300000.0,-2.08,10.26,176665000.0,20
2013-07-31,161.26,169.86,160.22,168.71,2330900000.0,4.62,9.64,105950000.0,22
2013-08-31,169.99,170.97,163.05,163.65,2283100000.0,-3.73,7.92,103777273.0,22
2013-09-30,165.23,173.6,163.7,168.01,2226600000.0,1.68,9.9,111330000.0,20
2013-10-31,168.14,177.51,164.53,175.79,2901800000.0,4.55,12.98,126165217.0,23
2013-11-30,176.02,181.75,174.76,181.0,1930800000.0,2.83,6.99,96540000.0,20
2013-12-31,181.09,184.69,177.32,184.69,2232800000.0,1.99,7.37,106323810.0,21
2014-01-31,183.98,184.94,176.88,178.18,2530500000.0,-3.15,8.06,120500000.0,21
2014-02-28,177.97,187.15,173.71,186.29,2394100000.0,4.67,13.44,126005263.0,19
2014-03-31,184.65,189.02,183.75,187.01,2553800000.0,1.28,5.27,121609524.0,21
2014-04-30,187.62,189.7,181.31,188.31,2346200000.0,0.37,8.39,111723810.0,21
2014-05-31,188.22,192.8,186.01,192.68,1781100000.0,2.37,6.79,84814286.0,21
2014-06-30,192.95,196.6,191.97,195.72,1674800000.0,1.44,4.63,79752381.0,21
2014-07-31,196.2,199.06,192.97,193.09,1893700000.0,-1.59,6.09,86077273.0,22
2014-08-31,192.56,200.82,190.55,200.71,1829800000.0,4.23,10.27,87133333.0,21
2014-09-30,200.97,201.9,196.05,197.02,2106500000.0,-1.97,5.85,100309524.0,21
2014-10-31,196.7,201.82,181.92,201.66,3942900000.0,2.52,19.9,171430435.0,23
2014-11-30,201.92,207.87,200.06,207.2,1571000000.0,2.61,7.81,82684211.0,19
2014-12-31,206.4,212.97,197.86,205.54,3045100000.0,-0.42,15.11,138413636.0,22
2015-01-31,206.38,206.88,198.55,199.45,3183500000.0,-3.36,8.33,159175000.0,20
2015-02-28,200.05,212.24,197.86,210.66,1901900000.0,5.3,14.38,100100000.0,19
2015-03-31,210.78,212.06,204.12,206.43,2749800000.0,-2.06,7.94,124990909.0,22
2015-04-30,206.39,212.48,204.51,208.46,2036700000.0,1.0,7.97,96985714.0,21
2015-05-31,209.4,213.78,206.76,211.14,1892400000.0,0.83,7.02,94620000.0,20
2015-06-30,211.94,213.34,205.28,205.85,2535300000.0,-2.87,8.06,115240909.0,22
2015-07-31,207.73,213.18,204.11,210.5,2452900000.0,1.33,9.07,111495455.0,22
2015-08-31,210.46,211.31,182.4,197.67,3734900000.0,-6.08,28.91,177852381.0,21
2015-09-30,193.12,202.89,186.93,191.63,3279600000.0,-0.77,15.96,156171429.0,21
2015-10-31,192.08,209.44,189.12,207.93,2536000000.0,8.25,20.32,115272727.0,22
